request_id,product_name,latency_ms
0-salt-1,salt,506.805
0-fish-2,fish,2.524
0-salt-3,salt,1.092
0-fish-4,fish,2.017
0-salt-6,salt,1.056
0-salt-7,salt,1.008
0-boar-8,boar,6.020
0-salt-9,salt,3.017
0-boar-10,boar,2.007
0-salt-11,salt,1.513
0-salt-12,salt,2.515
0-fish-13,fish,2.020
0-salt-14,salt,2.334
0-salt-15,salt,4.013
0-salt-16,salt,6.061
0-boar-17,boar,5.017
0-boar-18,boar,3.010
0-salt-19,salt,3.263
0-fish-20,fish,3.026
0-salt-21,salt,3.013
0-salt-23,salt,4.549
0-fish-24,fish,1.522
0-salt-25,salt,1.249
0-boar-26,boar,3.018
0-salt-27,salt,1.513
0-salt-28,salt,1.512
0-fish-29,fish,2.535
0-boar-30,boar,2.099
